항목ID,항목코드,항목코드명,,,
B_04_005#9,3,케이블채널,,,
B_04_005#9,4,VOD,,,
B_04_005#9,5,라디오,,,
B_04_005#9,6,DMB,,,
B_04_005#9,7,PC,,,
B_04_005#9,8,모바일기기,,,
B_04_005#9,9,신문,,,
B_04_005#9,10,잡지,,,
B_04_005#9,99,없음,,,
B_04_005#10,1,지상파채널,,,
B_04_005#10,2,종합편성채널,,,
B_04_005#10,3,케이블채널,,,
B_04_005#10,4,VOD,,,
B_04_005#10,5,라디오,,,
B_04_005#10,6,DMB,,,
B_04_005#10,7,PC,,,
B_04_005#10,8,모바일기기,,,
B_04_005#10,9,신문,,,
B_04_005#10,10,잡지,,,
B_04_005#10,99,없음,,,
B_04_006#1,1,지상파채널,,,
B_04_006#1,2,종합편성채널,,,
B_04_006#1,3,케이블채널,,,
B_04_006#1,4,VOD,,,
B_04_006#1,5,라디오,,,
B_04_006#1,6,DMB,,,
B_04_006#1,7,PC,,,
B_04_006#1,8,모바일기기,,,
B_04_006#1,9,신문,,,
B_04_006#1,10,잡지,,,
B_04_006#1,99,없음,,,
B_04_006#2,1,지상파채널,,,
B_04_006#2,2,종합편성채널,,,
B_04_006#2,3,케이블채널,,,
B_04_006#2,4,VOD,,,
B_04_006#2,5,라디오,,,
B_04_006#2,6,DMB,,,
B_04_006#2,7,PC,,,
B_04_006#2,8,모바일기기,,,
B_04_006#2,9,신문,,,
B_04_006#2,10,잡지,,,
B_04_006#2,99,없음,,,
B_04_006#3,1,지상파채널,,,
B_04_006#3,2,종합편성채널,,,
B_04_006#3,3,케이블채널,,,
B_04_006#3,4,VOD,,,
B_04_006#3,5,라디오,,,
B_04_006#3,6,DMB,,,
B_04_006#3,7,PC,,,
B_04_006#3,8,모바일기기,,,
B_04_006#3,9,신문,,,
B_04_006#3,10,잡지,,,
B_04_006#3,99,없음,,,
B_04_006#4,1,지상파채널,,,
B_04_006#4,2,종합편성채널,,,
B_04_006#4,3,케이블채널,,,
B_04_006#4,4,VOD,,,
B_04_006#4,5,라디오,,,
B_04_006#4,6,DMB,,,
B_04_006#4,7,PC,,,
B_04_006#4,8,모바일기기,,,
B_04_006#4,9,신문,,,
B_04_006#4,10,잡지,,,
B_04_006#4,99,없음,,,
B_04_006#5,1,지상파채널,,,
B_04_006#5,2,종합편성채널,,,
B_04_006#5,3,케이블채널,,,
B_04_006#5,4,VOD,,,
B_04_006#5,5,라디오,,,
B_04_006#5,6,DMB,,,
B_04_006#5,7,PC,,,
B_04_006#5,8,모바일기기,,,
B_04_006#5,9,신문,,,
B_04_006#5,10,잡지,,,
B_04_006#5,99,없음,,,
B_04_006#6,1,지상파채널,,,
B_04_006#6,2,종합편성채널,,,
B_04_006#6,3,케이블채널,,,
B_04_006#6,4,VOD,,,
B_04_006#6,5,라디오,,,
B_04_006#6,6,DMB,,,
B_04_006#6,7,PC,,,
B_04_006#6,8,모바일기기,,,
B_04_006#6,9,신문,,,
B_04_006#6,10,잡지,,,
B_04_006#6,99,없음,,,
B_04_006#7,1,지상파채널,,,
B_04_006#7,2,종합편성채널,,,
B_04_006#7,3,케이블채널,,,
B_04_006#7,4,VOD,,,
B_04_006#7,5,라디오,,,
B_04_006#7,6,DMB,,,
B_04_006#7,7,PC,,,
B_04_006#7,8,모바일기기,,,
B_04_006#7,9,신문,,,
B_04_006#7,10,잡지,,,
B_04_006#7,99,없음,,,
B_04_006#8,1,지상파채널,,,
B_04_006#8,2,종합편성채널,,,
B_04_006#8,3,케이블채널,,,
B_04_006#8,4,VOD,,,
B_04_006#8,5,라디오,,,
B_04_006#8,6,DMB,,,
B_04_006#8,7,PC,,,
B_04_006#8,8,모바일기기,,,
B_04_006#8,9,신문,,,
B_04_006#8,10,잡지,,,
B_04_006#8,99,없음,,,
B_04_006#9,1,지상파채널,,,
B_04_006#9,2,종합편성채널,,,
B_04_006#9,3,케이블채널,,,
B_04_006#9,4,VOD,,,
B_04_006#9,5,라디오,,,
B_04_006#9,6,DMB,,,
B_04_006#9,7,PC,,,
B_04_006#9,8,모바일기기,,,
B_04_006#9,9,신문,,,
B_04_006#9,10,잡지,,,
B_04_006#9,99,없음,,,
B_04_006#10,1,지상파채널,,,
B_04_006#10,2,종합편성채널,,,
B_04_006#10,3,케이블채널,,,
B_04_006#10,4,VOD,,,
B_04_006#10,5,라디오,,,
B_04_006#10,6,DMB,,,
B_04_006#10,7,PC,,,
B_04_006#10,8,모바일기기,,,
B_04_006#10,9,신문,,,
B_04_006#10,10,잡지,,,
B_04_006#10,99,없음,,,
B_04_007#1,1,지상파채널,,,
B_04_007#1,2,종합편성채널,,,
B_04_007#1,3,케이블채널,,,
B_04_007#1,4,VOD,,,
